timestamp,device_id,source,frame_id,track_id,n_potholes_in_group,width_cm,height_cm,box_area_cm2,pixel_area_cm2,box_area_m2,pixel_area_m2,repair_box_w_m,repair_box_h_m,repair_box_area_m2,repair_label,confidence,method,centroid_u,centroid_v,repair_box_x1,repair_box_y1,repair_box_x2,repair_box_y2,gps_lat,gps_lon,alt_m,speed_km,gps_utc,weather,image_file
2026-05-08 20:26:48,RPi_001,rpi_camera,365,3,1,19.9,9.1,182,139,0.0182,0.0139,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.6,517.6,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
2026-05-08 20:26:48,RPi_001,rpi_camera,366,3,1,19.9,9.1,182,138,0.0182,0.0138,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.7,517.5,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
2026-05-08 20:26:48,RPi_001,rpi_camera,367,3,1,19.9,9.1,182,138,0.0182,0.0138,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.8,517.5,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
2026-05-08 20:26:48,RPi_001,rpi_camera,368,3,1,20.2,9.1,184,138,0.0184,0.0138,0.5,0.5,0.2500,0.5m x 0.5m,0.74,IE_KAL,578.4,517.5,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
2026-05-08 20:26:48,RPi_001,rpi_camera,369,3,1,20.2,9.1,184,139,0.0184,0.0139,0.5,0.5,0.2500,0.5m x 0.5m,0.72,IE_KAL,578.3,517.5,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
2026-05-08 20:26:48,RPi_001,rpi_camera,370,3,1,20.2,9.1,184,140,0.0184,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.72,IE_KAL,578.4,517.6,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
2026-05-08 20:26:48,RPi_001,rpi_camera,371,3,1,20.2,9.4,189,140,0.0189,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.71,IE_KAL,578.2,517.7,369,416,786,619,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
2026-05-08 20:26:48,RPi_001,rpi_camera,372,3,1,20.2,9.1,184,140,0.0184,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.70,IE_KAL,578.5,517.5,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
2026-05-08 20:26:49,RPi_001,rpi_camera,373,3,1,19.9,9.1,182,138,0.0182,0.0138,0.5,0.5,0.2500,0.5m x 0.5m,0.75,IE_KAL,578.9,517.6,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
2026-05-08 20:26:49,RPi_001,rpi_camera,374,3,1,20.2,9.4,189,141,0.0189,0.0141,0.5,0.5,0.2500,0.5m x 0.5m,0.71,IE_KAL,578.6,517.7,370,416,786,619,-33.958667,18.459818,122.2,0.0,080526182645.0,Mostly Clear,
